cv.TM_CCOEFF
name,min_val,max_val
im69,-2332598.75,3647457.25
im70,-2288793.0,3652849.0
im71,-2264630.75,3657216.75
im72,-2255140.75,3662047.0
im73,-2243576.5,3668005.25
im74,-2236139.25,3668988.25
im75,-2223898.0,3668944.25
im76,-2217853.0,3664334.75
im77,-2213119.75,3690161.75
im78,-2205591.25,3711114.25
im79,-2215656.25,3653214.75
im80,-2211684.25,3637051.5
im81,-2216602.0,3645952.25
im82,-2215614.0,3691334.75
im83,-2220854.25,3735355.25
im84,-2222310.0,3794756.75
im85,-2221488.0,3847096.0
im86,-2216887.5,4030886.0
im87,-2213592.0,3979643.75
im88,-2213738.25,3799345.25
im89,-2212232.5,3594420.25
im90,-2205128.0,3452503.25
im91,-2202254.5,3361934.5
im92,-2208420.5,3306769.5
im93,-2190708.5,3245971.75
im94,-2215258.25,3178902.75
im95,-2480097.5,3115882.25
im96,-2691831.75,3084005.5
im97,-2883112.0,3053511.25
im98,-2979594.25,3018377.0
im99,-3040910.75,2986030.0
im100,-3088229.5,2949363.5
im101,-3116976.75,2990652.75
im102,-3165462.0,3466827.5
im103,-3275825.75,3704117.75
im104,-3346477.0,3702291.5
im105,-3327588.75,3748139.25
im106,-3309214.5,3752184.0
im107,-3257734.75,3749726.25
im108,-3246608.0,3725906.75
im109,-3257859.75,3715806.75
im110,-3286446.75,3706659.25
im111,-3292233.0,3671223.25
im112,-3316416.5,3642712.5
im113,-3365026.75,3624152.25
im114,-3446034.5,3608333.75
im115,-3493599.75,3605025.0
im116,-3535480.0,3604025.75
im117,-3535717.25,3608977.5
im118,-3278656.25,3627161.5
im119,-2693543.25,3646811.25
im120,-2172563.5,3645501.5
im121,-2216096.75,3724056.5
im122,-2279642.75,3593113.5
im123,-2199058.25,3553136.0
im124,-2206786.5,3813037.25
im125,-2225281.0,3696267.5
im126,-2229738.25,3454831.75
im127,-2233281.75,3448997.5
im128,-2236707.75,3459862.5
im129,-2233296.5,3469503.75
im130,-2231741.25,3475230.5
im131,-2232903.5,3479435.5
im132,-2234286.5,3485671.0
im133,-2237627.25,3485081.5
im134,-2236270.75,3485800.25
im135,-2235954.5,3696656.75
im136,-2234708.0,3884927.5
im137,-2232557.0,4007056.25
im138,-2236321.5,3949432.0
im139,-2232911.0,3880199.75
im140,-2235188.25,3853929.5
im141,-2236905.0,3839130.75
im142,-2241480.0,3837567.25
im143,-2246678.0,3855091.0
im144,-2245803.0,3890542.75
im145,-2241008.75,3949323.0
im146,-2241555.5,3990291.25
im147,-2240922.5,3970773.25
im148,-2245977.0,3829560.5
im149,-2236818.0,3772475.5
im150,-2242159.25,3704309.25
im151,-2234570.5,3648419.5
im152,-2232283.0,3607554.25
im153,-2229026.75,3597545.25
im154,-2241782.0,3608820.5
